sessionId,vis,reported,truth,error
jxu6zypaqp04nxqzp1w12v,Bubble,98,84.68214779,3.748767367
jxu6zypaqp04nxqzp1w12v,Pie,15,29.3287938,3.853376313
jxu6zypaqp04nxqzp1w12v,Bar,99,99.47916659,0
jxu6zypaqp04nxqzp1w12v,Bar,99,96.07574185,1.608458294
jxu6zypaqp04nxqzp1w12v,Pie,35,72.20933253,5.222431033
jxu6zypaqp04nxqzp1w12v,Pie,15,18.09388149,1.686559462
jxu6zypaqp04nxqzp1w12v,Bar,99,99.81331725,0
jxu6zypaqp04nxqzp1w12v,Bar,25,36.61061617,3.552821686
jxu6zypaqp04nxqzp1w12v,Pie,20,35.17826176,3.935767279
jxu6zypaqp04nxqzp1w12v,Bubble,70,54.47055139,3.968500789
jxu6zypaqp04nxqzp1w12v,Pie,80,74.0197394,2.610052877
jxu6zypaqp04nxqzp1w12v,Pie,30,40.23256368,3.372612784
jxu6zypaqp04nxqzp1w12v,Pie,25,45.34946428,4.355753799
jxu6zypaqp04nxqzp1w12v,Bar,99,82.50561708,4.054794911
jxu6zypaqp04nxqzp1w12v,Bubble,99,96.04791164,1.621565871
jxu6zypaqp04nxqzp1w12v,Bar,95,93.96835378,0.209947664
jxu6zypaqp04nxqzp1w12v,Bubble,99,92.71343736,2.680676016
jxu6zypaqp04nxqzp1w12v,Bubble,99,93.93118267,2.376795274
jxu6zypaqp04nxqzp1w12v,Bar,80,75.30508543,2.269007575
jxu6zypaqp04nxqzp1w12v,Bubble,91,78.65346786,3.640566808
jxu6zypaqp04nxqzp1w12v,Bubble,99,92.4225518,2.744688164
gs7qta0a0u3xawc1s4565,Pie,90,96.02946155,2.621632643
gs7qta0a0u3xawc1s4566,Pie,75,76.44627847,0.6519388893
gs7qta0a0u3xawc1s4567,Bar,40,37.15151952,1.572152605
gs7qta0a0u3xawc1s4568,Pie,30,47.22010244,4.116456456
gs7qta0a0u3xawc1s4569,Pie,85,89.64273855,2.253305123
gs7qta0a0u3xawc1s4570,Bubble,85,47.61980934,5.229018371
gs7qta0a0u3xawc1s4571,Pie,20,22.53729803,1.412672082
gs7qta0a0u3xawc1s4572,Bar,35,27.28264156,2.971287582
gs7qta0a0u3xawc1s4573,Pie,60,60.4473812,0
gs7qta0a0u3xawc1s4574,Pie,70,92.00660416,4.468036121
gs7qta0a0u3xawc1s4575,Pie,30,33.01231447,1.649530148
